OBJECTID,LENGTH,LINK,Midx,Midy,Cseason,Oseason,Cstartdate,Cenddate,Ostartdate,Oenddate,DFWOpen,BEACHID,BEACHCOMMENT,CLASSIFICATIONDATE,CLASSIFICATION,REASONDESCRIPTION,ORGANIZATION,BIDN,BEACHNAME,WATERBODYNAME,COUNTYNAME,GROWINGAREANAME,ALLSPECIEDESCRIPTIONS,FINALSTATUS,UPDATED,SHAPE_Length
1,4328.414,https://www.ci.blaine.wa.us/facilities/facility/details/Marine-Park-23,-122.75830123,48.99680042,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Closed year-round.",,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,2019/01/01 00:00:00+00,0,1172,None,1999/01/28 00:00:00+00,Closed,This beach resides within an area of known contamination.  Commercial harvest is PROHIBITED.  Recreational harvest is CLOSED.  Shellfish are unsafe for human consumption.,Department of Natural Resources,200110,BLAINE MARINE PARK (SEMIAHMOO),Georgia Straits North,Whatcom,Drayton Harbor,None,Closed,2023/04/12 03:01:35+00,2740.2281513384
2,2441.569,https://www.whatcomcounty.us/3539/Lighthouse-Marine-Park,-123.0808935,48.97160693,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1131,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200125,LIGHTHOUSE MARINE PARK,Georgia Straits North,Whatcom,None,None,Unclassified,2023/04/12 03:01:35+00,1601.84871462177
3,3148.933,,-122.81800862,48.9553115,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1165,None,1998/05/05 00:00:00+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,Department of Natural Resources,200090,DNR-372,Georgia Straits North,Whatcom,None,None,Unclassified,2023/04/12 03:01:35+00,1414.76838259343
4,3848.515,,-122.80285342,48.93454186,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1163,None,2016/07/19 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,200070,S BIRCH PT,Birch Bay,Whatcom,Birch Bay,None,Open,2023/04/12 03:01:35+00,2156.75643701494
5,8357.315,http://parks.state.wa.us/170/Birch-Bay,-122.76726565,48.90631603,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1162,None,1999/04/09 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,200060,BIRCH BAY SP,Birch Bay,Whatcom,Birch Bay,None,Open,2023/04/12 03:01:35+00,4165.1563659682
6,8229.188,,-122.78503737,48.89460301,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,1164,None,1999/01/28 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,Department of Natural Resources,200080,PT WHITEHORN,Birch Bay,Whatcom,Birch Bay,None,Open,2023/04/12 03:01:35+00,3749.29703068076
7,3418.55,,-122.96818448,48.78507695,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,681,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200260,DNR-366A (LITTLE PATOS),Sucia Island,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1578.44687422711
8,19593.504,http://parks.state.wa.us/561/Patos-Island,-122.95637234,48.78577424,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,682,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,WASHINGTON STATE DEPT OF PARKS AND RECREATION,200270,PATOS ISLAND SP,Sucia Island,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,9048.4158386667
9,3278.49,,-123.00938806,48.71633482,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,669,None,2014/06/24 08:48:59+00,Unclassified,This beach has not been evaluated by the Department of Health for pollution problems.  Contact your local health department for local information about pollution problems in this area.,None,200200,DNR-362,President Channel,San Juan,None,None,Unclassified,2023/04/12 03:01:35+00,1540.37258905506
10,2713.621,,-122.87252913,48.71026283,"<b>Clams, Mussels & Oysters:</b>&nbsp;&nbsp;Open year-round.",,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,2023/01/01 00:00:00+00,2023/12/31 00:00:00+00,1,728,None,2022/02/11 00:00:00+00,Open,Water quality and shoreline conditions meet public health standards for recreational shellfish harvesting.,None,200480,DNR-234,President Channel,San Juan,None,None,Open,2023/04/12 03:01:35+00,1656.23558461389
