"BEACHNAME","BIDN","station_name","station_id","type"
"FORT FLAGLER SP",250260,"Port Ludlow","9445017","Subordinate"
"OAK BAY CP",250400,"Port Ludlow","9445017","Subordinate"
"DABOB BROADSPIT",270801,"Quilcene, Quilcene Bay, Dabob Bay","9445272","Subordinate"
"DUCKABUSH",270286,"Pleasant Harbor","9445293","Subordinate"
"EAGLE CREEK",270300,"Ayock Point","9445388","Subordinate"
"NORTH BAY",280710,"Allyn, Case Inlet","9446281","Subordinate"
"POTLATCH SP",270440,"Union","9445478","Harmonic"
"PENROSE POINT SP",280680,"Home, Von Geldern Cove, Carr Inlet","9446500","Subordinate"
"DNR-24",280820,"McMicken Island, Case Inlet","9446583","Subordinate"
"OAKLAND BAY",281050,"Shelton, Oakland Bay","9446628","Subordinate"
"PENROSE POINT SP",280680,"Home, Von Geldern Cove, Carr Inlet","9446500","Subordinate"
"WOLFE PROPERTY SP",250510,"Foulweather Bluff","9445016","Harmonic"
"CHIMACUM CREEK TIDELANDS",250184,"Port Ludlow","9445017","Subordinate"
"TWANOH SP",270460,"Lynch Cove Dock","9445441","Subordinate"
"DOSEWALLIPS SP",270200,"Pleasant Harbor","9445293","Subordinate"
"PORT GAMBLE HERITAGE PARK",250900,"Port Gamble","9445059","Subordinate"
